skills,role
python pandas numpy machine-learning,data_scientist
python tensorflow keras deep-learning,ml_engineer
react javascript html css,web_developer
nodejs express mongodb javascript,backend_developer
c++ dsa algorithms codeforces,software_engineer
java oop spring boot,software_engineer
python scikit-learn pandas,data_scientist
tensorflow pytorch neural-networks,ml_engineer
html css javascript react,web_developer
c++ competitive-programming graphs dp,software_engineer
python flask api backend,backend_developer
java spring microservices,backend_developer
react nextjs frontend javascript,web_developer
html css bootstrap frontend,web_developer
tensorflow computer-vision cnn,ml_engineer
pytorch deep-learning ai,ml_engineer
pandas data-analysis excel,data_scientist
numpy statistics machine-learning,data_scientist
c++ trees graphs dp,software_engineer
c++ competitive-programming math,software_engineer
